"","Country","Happiness","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","PositiveAffect","NegativeAffect","ConfidenceInGovernment","Region"
"95","Nepal",4.73669242858887,7.80090188980103,0.816383302211761,62.4000015258789,0.845147609710693,0.144506737589836,0.770177125930786,0.570577025413513,0.37597793340683,0.559578537940979,"Southern Asia"
"96","Netherlands",7.45896530151367,10.7887525558472,0.936501324176788,72.1999969482422,0.920319736003876,0.244597196578979,0.363133639097214,0.852184891700745,0.184519842267036,0.669553637504578,"Western Europe"
"97","New Zealand",7.32718276977539,10.4936561584473,0.954920649528503,73,0.942279458045959,0.289705753326416,0.221887484192848,0.817431271076202,0.171716570854187,0.609015464782715,"Australia and New Zealand"
"98","Nicaragua",6.47635650634766,8.57950019836426,0.838043689727783,67.1999969482422,0.922162771224976,0.0103005412966013,0.672963321208954,0.849764168262482,0.308447897434235,0.590425193309784,"Latin America and Caribbean"
"99","Niger",4.61567354202271,6.8308744430542,0.582109570503235,53,0.683557569980621,-0.0171520318835974,0.777660012245178,0.731161415576935,0.426522374153137,0.601117253303528,"Sub-Saharan Africa"
"100","Nigeria",5.32192802429199,8.58269119262695,0.733468532562256,49.2999992370605,0.825905561447144,0.113835752010345,0.834891974925995,0.724990546703339,0.235968768596649,0.558790743350983,"Sub-Saharan Africa"
"101","Norway",7.57874488830566,11.0790615081787,0.95012766122818,73.0999984741211,0.953016817569733,0.218105062842369,0.249711379408836,0.84909999370575,0.2029138058424,0.717159748077393,"Western Europe"
"102","Pakistan",5.83087062835693,8.52411079406738,0.690263569355011,58.0999984741211,0.71265709400177,0.0300644934177399,0.71392822265625,0.586166977882385,0.308341085910797,0.557435154914856,"Southern Asia"
"103","Palestinian Territories",4.62813282012939,NA,0.824345111846924,NA,0.631611287593842,NA,0.830646336078644,0.596765577793121,0.41607204079628,0.414400935173035,"Middle East and Northern Africa"
"104","Panama",6.5676589012146,10.0108623504639,0.911904811859131,69.5,0.899573504924774,-0.160123616456985,0.840777099132538,0.832688808441162,0.242319330573082,0.390996098518372,"Latin America and Caribbean"
"105","Paraguay",5.71329545974731,9.0855712890625,0.902042508125305,65.5,0.891171455383301,0.018430408090353,0.809900760650635,0.902772128582001,0.231783673167229,0.381784081459045,"Latin America and Caribbean"
"106","Peru",5.71093654632568,9.41219520568848,0.830123364925385,67.8000030517578,0.826552152633667,-0.16386441886425,0.895384132862091,0.789390861988068,0.39387372136116,0.254595339298248,"Latin America and Caribbean"
"107","Philippines",5.5942702293396,8.9357967376709,0.851028561592102,61.7999992370605,0.925703108310699,-0.146240323781967,0.711165547370911,0.768981456756592,0.340621501207352,0.837730050086975,"Southeastern Asia"
"108","Poland",6.20126819610596,10.211576461792,0.881854116916656,68.9000015258789,0.830842614173889,-0.127978220582008,NA,0.677435517311096,0.203387796878815,0.502480447292328,"Central and Eastern Europe"
"109","Portugal",5.71149921417236,10.2377033233643,0.899984836578369,72.1999969482422,0.905065655708313,-0.177407518029213,0.880970537662506,0.649151086807251,0.294272571802139,0.50108814239502,"Western Europe"
"110","Romania",6.08990478515625,10.0567750930786,0.811240136623383,66.9000015258789,0.838586688041687,-0.161854967474937,0.925658047199249,0.733730375766754,0.230836197733879,0.298341333866119,"Central and Eastern Europe"
"111","Russia",5.57874298095703,10.1172246932983,0.896151304244995,63.9000015258789,0.730874240398407,-0.154709875583649,0.861590206623077,0.710230231285095,0.194560527801514,0.556597232818604,"Central and Eastern Europe"
"112","Rwanda",3.10837388038635,7.52521467208862,0.516550004482269,60.5,0.908114850521088,0.050674844533205,0.213757216930389,0.762161076068878,0.358309626579285,0.981398344039917,"Sub-Saharan Africa"
"113","Saudi Arabia",6.29428243637085,10.8005018234253,0.840086281299591,66,0.814142167568207,-0.149060890078545,NA,0.774875700473785,0.305841892957687,NA,"Middle East and Northern Africa"
